,ERR2731369
STX7,16.524251856626563
ZDHHC21,6.378430946699843
TJP1,10.76321347340211
SNORD73B,6.036531443232703
GOLGA8T,0.01418891369695539
OR12D2,0.0
RPS18,1198.8294794560347
CDKN2A,36.82237421801513
KCNJ12,0.580656287884582
PRPF31,12.20149972568312
CYP20A1,6.300122787442959
MS4A14,0.06337344040347882
ABCF1,18.211216240400738
CLTB,69.44838574913501
KDM4B,16.87210127119646
ASB13,40.69480855896242
CALHM2,99.28816901633726
ARHGEF10L,25.885895617119477
LINC01654,0.0
FAM168B,84.84702272121945
ODR4,19.444596475797645
SLC48A1,19.839674781947643
SPDEF,0.47308240150726516
PLA2G2D,0.0
PRXL2B,14.68663034956053
FUZ,34.328195490653904
ZNF536,0.11102007313449062
LARP4,19.88904930979494
USP19,40.80487992743136
CRP,0.11234239658621654
CD79B,2.4467526366185397
TGFBRAP1,19.758691644313473
SNRPE,42.948176861878906
TNR,0.035445068366276734
DDX39B,0.0
SYT17,2.6443648335269585
HMBOX1,4.684525370907033
AKR7L,4.408559161548015
GPM6A,0.0
PEX5L,0.11073766222543115
HERC4,46.70148850312878
GOLGA8R,0.0983979406950513
ACBD5,14.434078733668187
VAMP7,36.36841478846225
GPANK1,2.8682146382389075
DMAC2,45.685411670433034
MICOS10,17.816399526676527
LINC00339,31.63960104432126
TCHHL1,0.0
NOL11,54.15364778773824
RPS14P3,5.537689196879642
ZNF33A,9.108742142586703
RPL28,310.3210196183603
TIMM10,87.76917910538565
CD36,8.216359664881587
MARCHF1,2.5473135741977444
NPLOC4,83.42660761686534
PHACTR4,20.193445744746228
TMCO4,14.282526447512401
TBXT,0.0
RPL3,3566.6363948232106
ZNF414,19.67032147634588
PAAF1,9.662380769146214
ZC3H14,7.352438513135206
ZBTB8OS,29.228006446328184
GRB7,0.2541578545522751
LINC01757,0.0
LINC01141,0.5385486021916566
PHB,159.16635641336225
PGM1,111.35656500884186
TMEM259,196.33610711463265
RHNO1,31.647566403394894
KIR3DL1,0.0
GTF2H2,0.0
C1orf43,183.4405479603811
ATP7B,3.2728182523550795
CERS3,0.0
OR10Q1,0.0
OR10J5,0.0
ZMAT5,29.04087906489417
OR11H6,0.0
ABHD16A,7.522005821346541
SLC14A2,0.16434240861321142
ASCC1,22.44433765329606
ANXA8,0.0
ODF2L,19.480509722420944
SULT1C3,0.22077691396738588
OSBPL2,40.160609964666385
CHODL,1.777351334998922
KCTD10,112.5502285880581
POGLUT1,27.071362756552137
ORC6,6.0852131484200624
GNMT,0.42076195003945416
BBS9,9.894314782782079
PRRT3,7.776284506311386
NLGN4Y,0.0
FBXO21,28.178281155410282
CSF2RA,0.4558896412181417
COBLL1,4.384994791186011
FILIP1L,20.304527714691282
ENTPD1,5.514853022704331
DDR1,3.4433787567144694
KIR2DS4,0.0
ANKRD30B,0.0
SUCLG2,79.01271089680056
ACHE,1.0312980825568396
DDO,3.7680473300140718
IRF7,13.274431849613748
ZNF90,1.9368550085238618
FCGR2A,2.652104233846567
TAF15,94.44295840302783
ZNF174,11.590000240021519
NHEJ1,26.264509132467538
PIP4K2C,40.78223604955636
PEAK1,19.351412492556822
EPS8L1,0.2025126342709805
EFCC1,1.9347857189848408
ZNF552,7.218428862284004
AGMAT,1.5359510538112289
EHMT1,22.95535180577943
MMRN2,8.937793324958687
VASH2,17.56100277332116
LINC01635,1.45940498717123
BCAP29,0.2012271289091092
SENP1,12.973425912842387
SUN1,64.49728227525912
ADAL,5.779261109951012
KMT5A,30.232703828972948
ZBTB40,15.64600877989793
IGSF11,0.0
TUBB,123.78696315797812
CALCOCO1,92.27366169111872
FLRT3,0.15745126230609938
HCN3,3.1112594479272246
MARCHF6,54.42645946509726
BASP1,564.4300398585252
PCGF3,59.53562771836116
CNKSR1,0.2214103375598849
GCK,1.636221378457694
LPGAT1,18.149840195646696
RNF10,102.48427060110886
KBTBD11,1.3757107543179723
SEC16A,36.80358796266112
IKBKB,41.27858631097595
PSME3,85.5554293760909
FIGNL1,5.364511960436887
CIB2,23.151470023761785
AAGAB,52.48148766826322
ASAP1,56.51251174481863
WDR83OS,214.85029621764212
GPSM1,45.726249615339206
PACSIN2,44.30350084145767
NCLN,46.288959691229024
COA7,17.568077498249636
ACSL4,82.40120006624583
TRPC7,0.0
GSN,373.74437953112124
SRRM1,56.58320025926668
RAPGEF2,17.91047500868465
SGCD,4.887126821524899
ST7,19.015300756177126
SEPTIN9,196.32860230089
TRIM64B,0.0
RRAS2,73.60519869099853
GAMT,30.919818450750952
C8orf76,6.04805154140681
RTL9,0.0
PPP1R15B,53.288751320804224
FAM222A,0.12286020576457332
A2ML1,0.0
ZNF747,15.551404234374777
LOXHD1,0.4306339805730368
SULT1C2,18.692277746342718
